#2-THETA,#INTENSITY
3,4536
3.049,4619
3.098,4472
3.147,4285
3.196,4360
3.245,3444
3.294,4090
3.343,3660
3.392,3552
3.441,3837
3.49,3088
3.539,3357
3.588,2978
3.637,3092
3.686,3303
3.735,2657
3.784,2688
3.833,2684
3.882,2750
3.931,2928
3.98,2283
4.029,2699
4.078,2373
4.127,2438
4.176,2596
4.225,2175
4.274,2393
4.323,2051
4.372,2154
4.421,2271
4.47,1974
4.519,1995
4.568,2028
4.617,1890
4.666,1978
4.715,1771
4.764,1785
4.813,1818
4.862,1748
4.911,1802
4.96,1812
5.009,1714
5.058,1724
5.107,1721
5.156,1675
5.205,1658
5.254,1633
5.303,1635
5.352,1540
5.401,1639
5.45,1597
5.499,1566
5.548,1516
5.597,1525
5.646,1460
5.695,1459
5.744,1431
5.793,1441
5.842,1425
5.891,1354
5.94,1341
5.989,1325
6.038,1317
6.087,1378
6.136,1320
6.185,1336
6.234,1299
6.283,1304
6.332,1268
6.381,1302
6.43,1244
6.479,1275
6.528,1300
6.577,1184
6.626,1240
6.675,1174
6.724,1303
6.773,1163
6.822,1122
6.871,1164
6.92,1121
6.969,1177
7.018,1115
7.067,1144
7.116,1111
7.165,1179
7.214,1173
7.263,1144
7.312,1063
7.361,1099
7.41,1137
7.459,1032
7.508,1082
7.557,1018
7.606,1096
7.655,1125
7.704,1075
7.753,1134
7.802,1057
7.851,1109
7.9,1031
7.949,1070
7.998,1038
8.047,1080
8.096,1110
8.145,1089
8.194,1035
8.243,1051
8.292,1065
8.341,1056
8.39,972
8.439,1000
8.488,1008
8.537,1005
8.586,1035
8.635,1044
8.684,1031
8.733,1022
8.782,990
8.831,1025
8.88,1019
8.929,1011
8.978,1027
9.027,1018
9.076,1018
9.125,1024
9.174,1029
9.223,1021
9.272,1019
9.321,986
9.37,979
9.419,1005
9.468,998
9.517,996
9.566,982
9.615,1027
9.664,1027
9.713,1056
9.762,1002
9.811,1029
9.86,1050
9.909,981
9.958,1009
10.007,1037
10.056,1032
10.105,1026
10.154,1056
10.203,1054
10.252,1076
10.301,991
10.35,1060
10.399,1021
10.448,1000
10.497,1046
10.546,990
10.595,988
10.644,956
10.693,947
10.742,978
10.791,900
10.84,895
10.889,964
10.938,1032
10.987,954
11.036,877
11.085,939
11.134,845
11.183,897
11.232,891
11.281,902
11.33,859
11.379,874
11.428,883
11.477,875
11.526,862
11.575,872
11.624,873
11.673,834
11.722,871
11.771,821
11.82,826
11.869,811
11.918,831
11.967,820
12.016,818
12.065,823
12.114,824
12.163,847
12.212,835
12.261,857
12.31,797
12.359,833
12.408,847
12.457,866
12.506,892
12.555,856
12.604,902
12.653,842
12.702,869
12.751,859
12.8,862
12.849,859
12.898,878
12.947,833
12.996,838
13.045,801
13.094,889
13.143,907
13.192,831
13.241,800
13.29,863
13.339,851
13.388,820
13.437,888
13.486,862
13.535,874
13.584,842
13.633,837
13.682,891
13.731,924
13.78,860
13.829,877
13.878,871
13.927,900
13.976,862
14.025,830
14.074,832
14.123,816
14.172,864
14.221,883
14.27,849
14.319,843
14.368,860
14.417,900
14.466,860
14.515,831
14.564,862
14.613,896
14.662,854
14.711,868
14.76,814
14.809,856
14.858,874
14.907,853
14.956,927
15.005,892
15.054,869
15.103,870
15.152,884
15.201,848
15.25,842
15.299,882
15.348,900
15.397,903
15.446,890
15.495,825
15.544,886
15.593,937
15.642,895
15.691,964
15.74,992
15.789,1083
15.838,1136
15.887,1214
15.936,1269
15.985,1260
16.034,1220
16.083,1132
16.132,1108
16.181,1062
16.23,1009
16.279,981
16.328,946
16.377,982
16.426,942
16.475,924
16.524,897
16.573,895
16.622,963
16.671,916
16.72,924
16.769,980
16.818,978
16.867,926
16.916,936
16.965,966
17.014,981
17.063,999
17.112,978
17.161,988
17.21,994
17.259,992
17.308,1053
17.357,1044
17.406,1101
17.455,1104
17.504,1114
17.553,1087
17.602,1127
17.651,1133
17.7,1103
17.749,1111
17.798,1034
17.847,1023
17.896,1053
17.945,1049
17.994,1082
18.043,1092
18.092,1111
18.141,1164
18.19,1205
18.239,1183
18.288,1178
18.337,1188
18.386,1128
18.435,1134
18.484,1205
18.533,1171
18.582,1223
18.631,1207
18.68,1217
18.729,1184
18.778,1272
18.827,1233
18.876,1239
18.925,1224
18.974,1204
19.023,1205
19.072,1225
19.121,1196
19.17,1218
19.219,1182
19.268,1179
19.317,1195
19.366,1171
