name	AMCSD_code
Augite	000001
Hematite	000143
Orthoclase	000167
Fayalite	000174
Pigeonite	000209
Ferrosilite	000487
Albite	000536
Fayalite	000567
Labradorite	000760
Anorthoclase	000874
Magnetite	000945
Microcline	000962
Andesine	001052
Hornblende	001249
Fluorapatite	001256
Anorthite	001287
Cristobalite	001629
Albite	001682
Forsterite	002674
Clinoenstatite	002801
Akaganeite	003079
Hydroniumjarosite	004441
Orthopyroxene	004556
Natrojarosite	004576
Anhydrite	005117
Quartz	006362
Tridymite	006615
Maghemite	007898
Ilmenite	009082
Rozenite	009276
Starkeyite	009287
Arcanite	009456
Bytownite	009655
Enstatite	010680
Oligoclase	010721
Sanidine	010740
Gypsum	011093
Bassanite	013868
