name	AMCSD_code
Calcite	000098
Portlandite	000117
Aragonite	000233
Merwinite	000294
Periclase	000501
Calcite	000585
Quartz	000789
Calcite	000984
Calcite	001327
Calcite	001328
Rutile	001736
Rutile	001737
Katoite	001827
Katoite	002791
Perovskite	002890
Perovskite	002891
Perovskite	002892
Brownmillerite	003425
Brownmillerite	003426
Brownmillerite	003427
Brownmillerite	003428
Brownmillerite	003429
Brownmillerite	003430
Brownmillerite	003431
Brownmillerite	003432
Brownmillerite	003433
Brownmillerite	003434
Brownmillerite	003435
Brownmillerite	003436
Brownmillerite	003437
Brownmillerite	003438
Brownmillerite	003439
Brownmillerite	003440
Brownmillerite	003441
Brownmillerite	003442
Quartz	004266
Gypsum	004651
Gehlenite	005090
Anhydrite	005117
Rutile	005164
Perovskite	005501
Quartz	006212
Perovskite	006288
Quartz	006362
Stratlingite	006404
Periclase	006901
Periclase	006902
Periclase	006903
Periclase	006904
Bassanite	006909
Gehlenite	007694
Gehlenite	007695
Akermanite	007696
Akermanite	007697
Akermanite	007698
Perovskite	007754
Akermanite	008030
Periclase	008038
Lime	008276
Akermanite	008517
Bayerite	009134
Brownmillerite	017759
Brownmillerite	017766
Brownmillerite	017771
Rutile	009161
Grossite	009210
Katoite	016002
Corundum	009325
Corundum	009327
Ettringite	009368
Nordstrandite	009375
Grossite	017823
Rutile	009404
Arcanite	009456
Al6Ca9O18	009531
Ca8.5NaAl6O18	017813
Corundum	009699
Aphthitalite	009708
Ca20Al26Mg3Si3O68	017814
Calcite	009873
Portlandite	009874
Portlandite	009875
Portlandite	009876
Portlandite	009877
Calcite	009890
Akermanite	017151
Corundum	010593
Corundum	010607
Bayerite	010649
Gibbsite	010761
Hatrurite	010872
Hatrurite	010938
Quartz	011007
Gypsum	011093
Lime	011283
Wustite	011314
Rutile	011762
Portlandite	011777
CaAl2(OH)8(H2O)2*1.84H2O	017822
Jennite	012177
Ettringite	012178
Alite	017753
Larnite	012179
Larnite	012180
Larnite	012181
Larnite	012182
Larnite	012183
Larnite	012184
Akermanite	017811
Akermanite	017812
Corundum	012859
Quartz	012866
Calcite	012867
Calcite	012868
Corundum	012914
Corundum	012921
Portlandite	012953
Portlandite	016656
Krotite	017810
Krotite	017810
Anhydrite	013866
Bassanite	013867
Bassanite	013868
Bassanite	013869
Bassanite	013870
Wustite	013893
Wustite	013894
Corundum	014072
Corundum	014077
Calcite	017650
Lime	014079
Calcite	017593
Ca3SiO5	017809
Ca3SiO5	017826
Akermanite	014431
Akermanite	014432
Ettringite	014674
Nordstrandite	014701
Hatrurite	014729
Kuzelite	014757
Corundum	015110
Corundum	017671
Quartz	015462
