name	AMCSD_code
Orthoclase	019651
Hematite	000143
Aragonite	000233
Diopside	000340
Magnesite	000389
Pyrite	000606
Whewellite	000776
Weddellite	000777
Quartz	000789
Calcite	000984
Dolomite	001026
Enstatite	001201
Pyrope	001213
Hydroxylapatite	001257
Anorthite	001286
Leucite	001556
Phlogopite	001810
Analcime	002062
Albite	002264
Antigorite-M	019082
Minium	003132
Sepiolite	004269
Gypsum	004651
Barite	018846
Anhydrite	005117
Rutile	005164
Sodalite	005193
Zincite	005203
Microcline	005216
Barite	005559
Glaucophane	006415
Clinochlore	007298
Azurite	008598
Epsomite	009290
Paratacamite	009525
Portlandite	009876
Massicot	010011
Hydrocerussite	010324
Goethite	010471
Thenardite	018059
Kaolinite	017947
Clinoenstatite	010589
Muscovite	019602
Orpiment	010733
Malachite	010795
Talc	010839
Crocoite	019487
Cerussite	011016
Halite	011356
Cinnabar	012137
Celadonite	019600
Chabazite-Ca	012861
Sanidine	012862
Gold	013108
Zincite	015176
Eskolaite	017802
Ankerite	015665
